Filename,Scenario ID,Tokens Input,Model Type,Tokens Output Iteration_1,Tokens Output Iteration_2,Tokens Output Iteration_3,Tokens Output Iteration_4,Tokens Output Iteration_5,Fitness Iteration_1,Fitness Iteration_2,Fitness Iteration_3,Fitness Iteration_4,Fitness Iteration_5,Cost Input,Cost Output,Cost Total,Time,Simulation Status,Simulation Time
decoder_3_to_8_wadden_buggy1.v,0,482,gpt-4,311,313.0,402.0,311.0,313.0,0.9074074074074074,0.9074074074074074,0.0,1.0,1.0,,,,,,
decoder_3_to_8_wadden_buggy2.v,0,464,gpt-4,296,292.0,300.0,292.0,359.0,0.0,1.0,1.0,1.0,1.0,,,,,,
first_counter_overflow_wadden_buggy1.v,0,445,gpt-4,279,302.0,189.0,,,0.9310344827586208,0.986206896551724,0.7655172413793103,,,,,,,,
first_counter_overflow_wadden_buggy2.v,0,448,gpt-4,260,351.0,265.0,,,0.8620689655172413,0.6275862068965518,0.9448275862068966,,,,,,,,
first_counter_overflow_kgoliya_buggy1.v,0,448,gpt-4,265,224.0,254.0,,,1.0,1.0,1.0,,,,,,,,
tff_wadden_buggy1.v,0,166,gpt-4,93,118.0,76.0,,,0.0,0.0,0.8823529411764706,,,,,,,,
tff_wadden_buggy2.v,0,168,gpt-4,67,74.0,80.0,,,0.8823529411764706,0.8823529411764706,0.8823529411764706,,,,,,,,
fsm_full_wadden_buggy1.v,0,1134,gpt-4,992,999.0,976.0,,,0.9,0.0,0.8,,,,,,,,
fsm_full_wadden_buggy2.v,0,1097,gpt-4,1126,790.0,924.0,,,0.0,0.902439024390244,0.8095238095238095,,,,,,,,
fsm_full_ssscrazy_buggy1.v,0,1111,gpt-4,975,838.0,807.0,,,0.6585365853658537,0.8048780487804879,0.9375,,,,,,,,
fsm_full_ssscrazy_buggy2.v,0,1195,gpt-4,858,932.0,813.0,,,0.9,1.0,1.0,,,,,,,,
lshift_reg_wadden_buggy1.v,0,350,gpt-4,145,230.0,155.0,,,0.7758620689655172,0.7758620689655172,0.7758620689655172,,,,,,,,
lshift_reg_wadden_buggy2.v,0,350,gpt-4,177,229.0,143.0,,,0.896551724137931,0.8620689655172413,1.0,,,,,,,,
lshift_reg_kgoliya_buggy1.v,0,349,gpt-4,156,155.0,219.0,,,0.7586206896551724,0.8620689655172413,0.896551724137931,,,,,,,,
mux_4_1_wadden_buggy1.v,0,324,gpt-4,143,139.0,231.0,,,0.0,1.0,1.0,,,,,,,,
mux_4_1_wadden_buggy2.v,0,324,gpt-4,227,231.0,237.0,,,0.2666666666666666,1.0,1.0,,,,,,,,
mux_4_1_kgoliya_buggy1.v,0,319,gpt-4,236,231.0,237.0,,,0.0,1.0,1.0,,,,,,,,
i2c_slave_model_wadden_buggy1.v,0,3031,gpt-4,247,418.0,1126.0,,,0.0,0.0,0.0,,,,,,,,
i2c_slave_model_wadden_buggy2.v,0,3036,gpt-4,1400,195.0,1197.0,,,0.8383484759562883,0.0,0.0,,,,,,,,
i2c_master_bit_ctrl_kgoliya_buggy1.v,0,5876,gpt-4,108,2286.0,15.0,,,0.0,0.0,0.0,,,,,,,,
keccak_wadden_buggy1.v,0,1011,gpt-4,921,971.0,921.0,,,0.0,0.0,0.0,,,,,,,,
keccak_wadden_buggy2.v,0,989,gpt-4,897,919.0,878.0,,,0.0,0.0,0.0,,,,,,,,
padder_ssscrazy_buggy1.v,0,959,gpt-4,594,848.0,849.0,,,0.0,0.5481127340922898,0.9167437069124912,,,,,,,,
round_ssscrazy_buggy1.v,0,2172,gpt-4,2081,1902.0,2085.0,,,0.0,0.0,0.0,,,,,,,,
tate_pairing_wadden_buggy1.v,0,1741,gpt-4,604,1763.0,1760.0,,,0.0,0.0,0.0,,,,,,,,
tate_pairing_kgoliya_buggy1.v,0,1741,gpt-4,1364,308.0,1264.0,,,0.0,0.0,0.0,,,,,,,,
tate_pairing_wadden_buggy2.v,0,1740,gpt-4,510,1642.0,150.0,,,0.0,0.0935622317596566,0.0,,,,,,,,
BM_lamda_ssscrazy_buggy1.v,0,2986,gpt-4,252,2582.0,2338.0,,,0.0,0.1850793517052943,0.0058714845419146,,,,,,,,
out_stage_ssscrazy_buggy1.v,0,772,gpt-4,419,590.0,683.0,,,0.999165859207145,0.0,0.9999783341227336,,,,,,,,
sdram_controller_wadden_buggy1.v,0,3051,gpt-4,431,456.0,329.0,,,0.0,0.0,0.0,,,,,,,,
sdram_controller_wadden_buggy2.v,0,3041,gpt-4,249,469.0,339.0,,,0.0,0.0,0.0,,,,,,,,
sdram_controller_kgoliya_buggy2.v,0,3045,gpt-4,354,398.0,147.0,,,0.0,0.0,0.0,,,,,,,,
